name,cat
Building the Foundations for the Digital Transformation,GD Framework level 1
Accessible Digital Infrastructure Services,GD Framework level 2
Accessible Digital Infrastructures and Services,GD Framework level 2
Framework Conditions,GD Framework level 2
Innovation & Sectoral Effects,GD Framework level 2
Innovation & Sectoral effects,GD Framework level 2
Making the Digital Transformation Work for the Economy and Society,GD Framework level 1
Digital Government,GD Framework level 2
Effective Use,GD Framework level 2
Labour Market Adaptation,GD Framework level 2
Trust & Acceptance,GD Framework level 2
Well-being,GD Framework level 2
Policy Coherence and Strategic Development,GD Framework level 1